"latitude";"longitude";"bio1";"bio2";"bio3";"bio4";"bio5";"bio6";"bio7";"bio8";"bio9";"bio10";"bio11";"bio12";"bio13";"bio14";"bio15";"bio16";"bio17";"bio18";"bio19";"t_texture";"drainage";"ref_depth";"awc_class";"phase1";"phase2";"roots";"il";"swr";"add_prop";"t_gravel";"t_sand";"t_silt";"t_clay";"t_usda_tex_class";"t_ref_bulk_density";"t_bulk_density";"t_oc";"t_ph_h2o";"t_cec_clay";"t_cec_soil";"t_bs";"t_teb";"t_caco3";"t_caso4";"t_esp";"t_ece";"s_gravel";"s_sand";"s_silt";"s_clay";"s_usda_tex_class";"s_ref_bulk_density";"s_bulk_density";"s_oc";"s_ph_h2o";"s_cec_clay";"s_cec_soil";"s_bs";"s_teb";"s_caco3";"s_caso4";"s_esp";"s_ece";"FOR_2000";"GRS_2000";"NVG_2000";"sq1";"sq2";"sq3";"sq4";"sq5";"sq6";"sq7";"URB_2000";"WAT_2000"
"1";42.0311;-78.67215;62;119;32;8855;250;-119;369;171;-47;171;-57;1147;126;66;17;338;217;338;231;2;4;100;1;8;NA;NA;NA;NA;0;10;41;39;20;9;1.41;1.3;1.45;5.1;30;12;37;4.1;0;0;1;0.1;20;45;35;20;9;1.42;1.37;0.5;5.2;36;9;33;2.6;0;0;1;0.1;90.9170608520508;8.94283962249756;0;2;2;1;1;1;1;1;0.130115702748299;0
"2";43.10645;-80.2855;77;98;27;9361;268;-94;362;187;-38;195;-45;911;87;58;11;248;197;241;205;1;4;100;1;NA;NA;NA;NA;NA;0;4;88;7;5;13;1.7;1.44;0.4;6.5;31;3;86;2.1;0.1;0;2;0.1;4;83;7;10;12;1.59;1.5;0.26;6.6;40;4;100;4.7;3.1;0;6;0.1;7.51744365692139;4.42965793609619;0;1;1;1;1;1;1;1;41.7581977844238;0
"3";39.52765;-76.34025;122;116;32;8686;302;-56;358;210;19;231;7;1141;111;74;12;323;248;320;250;2;4;100;1;NA;NA;NA;NA;NA;0;10;49;27;24;10;1.4;1.4;1;4.6;16;7;44;3.5;0;0;1;0.1;10;40;24;36;5;1.32;1.4;0.42;4.8;14;6;32;2.3;0;0;2;0.1;36.638370513916;3.69697761535645;0;3;2;1;1;1;1;1;30.9240016937256;0
"4";36.0449;-81.898;96;119;37;7011;249;-65;314;167;3;184;3;1463;140;102;10;405;317;404;317;2;4;100;4;1;NA;NA;NA;NA;0;10;49;27;24;10;1.4;1.4;1;4.6;16;7;44;3.5;0;0;1;0.1;10;40;24;36;5;1.32;1.4;0.42;4.8;14;6;32;2.3;0;0;2;0.1;59.3662719726562;26.5328159332275;0;3;2;2;1;1;1;2;1.16772186756134;0
"5";43.2176;-79.76695;85;95;26;9315;273;-85;358;195;-30;203;-36;828;84;52;12;231;175;225;183;1;4;100;1;NA;NA;NA;NA;NA;0;4;88;7;5;13;1.7;1.44;0.4;6.5;31;3;86;2.1;0.1;0;2;0.1;4;83;7;10;12;1.59;1.5;0.26;6.6;40;4;100;4.7;3.1;0;6;0.1;4.76040363311768;2.43501472473145;0;1;1;1;1;1;1;1;52.0705986022949;14.0267992019653
"6";43.2176;-79.76695;85;95;26;9315;273;-85;358;195;-30;203;-36;828;84;52;12;231;175;225;183;1;4;100;1;NA;NA;NA;NA;NA;0;4;88;7;5;13;1.7;1.44;0.4;6.5;31;3;86;2.1;0.1;0;2;0.1;4;83;7;10;12;1.59;1.5;0.26;6.6;40;4;100;4.7;3.1;0;6;0.1;4.76040363311768;2.43501472473145;0;1;1;1;1;1;1;1;52.0705986022949;14.0267992019653
"7";33.98445;-84.2499;153;126;39;7256;310;-12;322;72;159;244;57;1369;153;89;16;415;282;320;382;2;4;100;1;NA;NA;NA;NA;NA;0;10;49;27;24;10;1.4;1.4;1;4.6;16;7;44;3.5;0;0;1;0.1;10;40;24;36;5;1.32;1.4;0.42;4.8;14;6;32;2.3;0;0;2;0.1;68.0330657958984;7.67022848129272;0;3;2;1;1;1;1;1;22.8003005981445;0
"8";40.6439;-80.56065;98;121;33;8786;283;-83;366;187;-21;206;-21;958;105;57;18;300;190;286;190;2;4;100;1;NA;NA;NA;NA;NA;0;10;41;39;20;9;1.41;1.3;1.45;5.1;30;12;37;4.1;0;0;1;0.1;20;45;35;20;9;1.42;1.37;0.5;5.2;36;9;33;2.6;0;0;1;0.1;79.0055084228516;7.77119159698486;0;2;2;1;1;1;1;1;13.1136693954468;0
"9";38.5505;-90.4153;128;122;31;9385;318;-70;388;223;1;244;1;989;104;50;19;294;184;271;184;2;4;100;1;NA;NA;NA;NA;NA;0;4;47;32;21;9;1.41;1.42;0.82;6.2;35;11;88;8.3;0;0;1;0.1;5;40;29;31;5;1.34;1.5;0.39;6.2;33;12;87;9.6;0;0;1;0.1;2.31198668479919;0.378673493862152;0;1;1;1;1;1;1;1;96.5778961181641;0
"10";40.64055;-74.29505;113;115;31;8741;299;-62;361;217;-2;224;-2;1213;122;79;11;339;266;326;266;2;4;100;1;NA;NA;NA;NA;NA;0;10;41;39;20;9;1.41;1.3;1.45;5.1;30;12;37;4.1;0;0;1;0.1;20;45;35;20;9;1.42;1.37;0.5;5.2;36;9;33;2.6;0;0;1;0.1;12.1515417098999;1.1952611207962;0;1;1;1;2;1;1;1;86.1859817504883;0
"11";35.8725;-78.761;151;127;38;7573;316;-18;334;247;105;247;51;1130;116;76;13;324;244;324;273;2;4;100;1;NA;NA;NA;NA;NA;0;10;49;27;24;10;1.4;1.4;1;4.6;16;7;44;3.5;0;0;1;0.1;10;40;24;36;5;1.32;1.4;0.42;4.8;14;6;32;2.3;0;0;2;0.1;76.2622146606445;12.1785907745361;0;3;2;1;1;1;1;1;2.09369993209839;0
"12";35.8725;-78.761;151;127;38;7573;316;-18;334;247;105;247;51;1130;116;76;13;324;244;324;273;2;4;100;1;NA;NA;NA;NA;NA;0;10;49;27;24;10;1.4;1.4;1;4.6;16;7;44;3.5;0;0;1;0.1;10;40;24;36;5;1.32;1.4;0.42;4.8;14;6;32;2.3;0;0;2;0.1;76.2622146606445;12.1785907745361;0;3;2;1;1;1;1;1;2.09369993209839;0
"13";42.8341;-80.1493;80;94;26;9231;263;-90;353;153;-34;195;-41;942;90;62;11;248;209;240;219;3;4;100;1;NA;NA;NA;NA;NA;0;4;56;22;22;10;1.42;1.34;1.11;6.4;36;22;87;18.4;0;0;1;0.1;8;48;20;32;10;1.35;1.38;0.54;6.7;37;21;92;21;0;0;1;0.1;12.6167268753052;7.28460597991943;0;1;1;1;1;1;1;1;2.07469987869263;1.97339987754822
"14";33.991;-83.4954;161;129;39;7218;323;-3;326;81;167;252;66;1275;140;88;14;384;269;306;347;2;4;100;1;NA;NA;NA;NA;NA;0;10;49;27;24;10;1.4;1.4;1;4.6;16;7;44;3.5;0;0;1;0.1;10;40;24;36;5;1.32;1.4;0.42;4.8;14;6;32;2.3;0;0;2;0.1;53.1307411193848;8.20465660095215;0;3;2;1;1;1;1;1;31.4512004852295;0
"15";39.0941;86.44765;112;161;32;11883;342;-148;490;252;-10;252;-53;22;8;0;130;18;0;18;0;2;4;100;1;22;NA;NA;NA;NA;0;10;89;6;5;13;1.7;1.4;0.43;5.7;47;6;99;14;0;0;2;0.1;10;89;5;6;13;1.68;1.48;0.24;6.2;47;4;100;15.3;0.2;0;2;0.1;0;6.92904009724771e-08;100;2;2;1;1;1;1;1;0;0
"16";39.8175;-74.5353;117;113;32;8364;294;-53;347;217;132;223;8;1128;118;79;12;319;262;313;262;1;6;100;3;NA;NA;NA;NA;NA;0;4;85;11;4;12;1.73;1.36;2.09;4.5;98;10;16;2.5;0;0;1;0.1;5;84;11;5;12;1.7;1.51;0.59;4.8;63;4;23;1.6;0;0;2;0.1;90.3281784057617;8.88491916656494;0;3;3;1;1;1;1;1;0;0
